title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
vauxhall corsa,12000,20413,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
volkswagen golf,3495,82000,2007,3,petrol,hatchback,1.6,manual,5,5,4,full
bmw x5,6450,95000,2007,3,diesel,suv,3.0,automatic,5,5,4,unknown
volkswagen eos,4000,89600,2006,5,petrol,convertible,3.2,automatic,2,4,4,unknown
ford focus,2200,147601,2005,3,petrol,hatchback,1.6,automatic,5,5,4,unknown
bmw 3 series,5999,112000,2004,5,petrol,coupe,3.0,automatic,2,5,3,full
ford fiesta,3495,85000,2009,5,petrol,hatchback,1.4,manual,5,5,4,unknown
volkswagen polo,3495,127000,2015,3,petrol,hatchback,1.0,manual,3,5,6,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
ford fiesta,2395,96651,2011,1,petrol,hatchback,1.3,manual,3,5,5,full
mini hatch,5950,105500,2012,1,petrol,hatchback,1.6,automatic,3,4,5,unknown
ford mondeo,2495,42000,2008,3,petrol,hatchback,2.0,manual,5,5,4,unknown
bmw 3 series,3995,105202,2006,8,petrol,coupe,3.0,automatic,2,5,4,unknown
toyota corolla,2145,57000,2004,5,petrol,hatchback,1.6,manual,3,5,4,unknown
skoda fabia,2500,33000,2005,3,petrol,hatchback,1.4,automatic,5,5,4,unknown
skoda rapid spaceback,6699,81000,2015,2,petrol,hatchback,1.2,manual,5,5,5,unknown
chrysler ypsilon,2250,100000,2012,4,petrol,hatchback,1.2,manual,5,5,5,unknown
audi a5,14299,50000,2015,3,diesel,coupe,2.0,manual,2,4,6,unknown
land rover range rover evoque,19698,49068,2019,3,diesel,suv,2.0,manual,5,5,6,unknown
ford focus,798,140599,2008,3,petrol,hatchback,1.6,manual,5,5,4,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
volkswagen golf,5300,49400,2010,3,diesel,hatchback,2.0,manual,5,5,5,full
mercedes-benz c class,4495,100000,2008,1,petrol,saloon,1.8,automatic,4,5,4,unknown
ford fiesta,2900,76438,2010,3,petrol,hatchback,1.6,manual,5,5,4,unknown
audi a3,4100,64800,2009,3,petrol,hatchback,1.6,manual,5,5,4,unknown
citroen c3,2399,70791,2006,3,petrol,hatchback,1.6,automatic,5,5,4,unknown
bmw 7 series,2600,189000,2008,5,diesel,saloon,3.0,automatic,4,5,4,unknown
renault scenic,2995,36878,2006,2,petrol,mpv,1.6,automatic,5,5,4,unknown
nissan juke,6399,68000,2014,2,diesel,suv,1.5,manual,5,5,5,full
peugeot 308,2999,84066,2011,4,petrol,hatchback,1.6,manual,5,5,5,unknown
ford focus,2950,105000,2011,3,petrol,hatchback,1.6,manual,5,5,5,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
vauxhall corsa,3850,74000,2009,3,petrol,hatchback,1.4,automatic,5,5,4,unknown
toyota yaris,3250,62000,2007,3,petrol,hatchback,1.3,manual,5,5,4,unknown
honda accord,2497,118000,2005,2,petrol,saloon,2.4,automatic,4,5,4,unknown
mazda mazda3,3499,36000,2006,1,petrol,hatchback,1.6,manual,5,5,4,unknown
mitsubishi asx,4495,124000,2013,3,petrol,suv,1.6,manual,5,5,5,unknown
mercedes-benz a class,5500,97000,2015,4,diesel,hatchback,1.5,manual,5,5,5,unknown
mercedes-benz clk,3800,104000,2006,3,petrol,coupe,1.8,automatic,2,4,4,full
toyota avensis,3785,106250,2008,3,petrol,saloon,1.8,automatic,4,5,4,unknown
bmw 1 series,10799,63000,2016,2,petrol,hatchback,1.5,manual,3,5,6,unknown
nissan qashqai+2,3999,71000,2011,2,diesel,suv,1.5,manual,5,7,5,unknown
peugeot 207,999,111400,2007,2,diesel,hatchback,1.6,manual,5,5,4,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
mini hatch,2100,132000,2006,7,petrol,hatchback,1.6,manual,3,4,4,unknown
nissan micra,2395,96195,2006,3,petrol,hatchback,1.4,automatic,5,5,4,full
volkswagen golf,3750,78656,2007,5,petrol,hatchback,1.6,manual,5,5,4,unknown
volkswagen golf,1995,120000,2004,6,petrol,hatchback,2.0,manual,3,5,4,unknown
volkswagen beetle,1790,72370,2006,3,petrol,hatchback,1.4,manual,3,4,4,unknown
ford focus,4950,32331,2014,2,diesel,hatchback,1.6,manual,5,5,5,full
volkswagen beetle,2495,1110100,2003,4,petrol,hatchback,2.0,automatic,3,4,4,unknown
ford b-max,4990,114850,2015,1,petrol,mpv,1.6,automatic,5,5,5,unknown
ford mondeo,2500,121480,2007,3,petrol,hatchback,2.3,automatic,5,5,4,unknown
seat ibiza,2799,99061,2011,3,petrol,hatchback,1.2,manual,3,5,5,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
ford focus,5500,62037,2014,2,petrol,hatchback,1.0,manual,5,5,5,unknown
chevrolet spark,2495,45000,2012,4,petrol,hatchback,1.0,manual,5,5,5,unknown
suzuki alto,2495,64269,2012,3,petrol,hatchback,1.0,manual,5,4,5,full
toyota aygo,2995,39000,2014,5,petrol,hatchback,1.0,manual,5,4,5,unknown
honda civic,2499,83000,2005,5,petrol,hatchback,1.6,automatic,5,5,3,unknown
renault clio,5495,74653,2015,3,petrol,hatchback,1.2,manual,5,5,6,unknown
fiat 500,6740,22116,2015,1,petrol,hatchback,1.2,manual,3,4,6,unknown
lexus is 250,4895,106150,2007,3,petrol,saloon,2.5,automatic,4,5,4,unknown
volkswagen polo,3495,127000,2015,3,petrol,hatchback,1.0,manual,3,5,6,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
vauxhall astra,3995,75000,2013,3,petrol,hatchback,1.6,manual,5,5,5,full
peugeot 306,2695,25240,1997,3,petrol,hatchback,1.4,manual,5,5,2,unknown
toyota yaris,1975,111555,2007,4,petrol,hatchback,1.8,manual,3,5,4,full
peugeot 208,5530,58700,2017,2,petrol,hatchback,1.2,manual,5,5,6,unknown
ford fiesta,2289,120000,2012,3,diesel,hatchback,1.6,manual,5,5,5,unknown
toyota yaris,2495,121600,2008,4,petrol,hatchback,1.3,manual,5,5,4,full
volkswagen phaeton,2889,98000,2006,3,petrol,saloon,3.2,automatic,4,5,4,unknown
volkswagen polo,3495,127000,2015,3,petrol,hatchback,1.0,manual,3,5,6,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
ford fiesta,2490,77935,2008,4,petrol,hatchback,1.3,manual,5,5,4,unknown
volkswagen beetle,2490,84500,2009,3,petrol,hatchback,1.6,manual,3,4,4,unknown
hyundai i30,4995,87000,2013,4,petrol,hatchback,1.4,manual,5,5,5,unknown
volkswagen golf,4450,96866,2011,2,diesel,hatchback,1.6,automatic,5,5,5,full
lexus ct 200h,5950,140000,2011,6,petrol hybrid,hatchback,1.8,automatic,5,5,5,unknown
vauxhall astra gtc,5699,58000,2014,3,petrol,coupe,1.4,manual,3,5,5,full
hyundai ix35,5490,59858,2012,2,diesel,suv,1.7,manual,5,5,5,unknown
fiat 500,6599,55000,2015,3,petrol,hatchback,1.2,manual,3,4,6,unknown
volkswagen polo,5450,75818,2013,4,petrol,hatchback,1.2,manual,5,5,5,unknown
ford fiesta,3230,90400,2012,1,petrol,hatchback,1.3,manual,5,5,5,unknown
vauxhall corsa,1950,93000,2012,4,petrol,hatchback,1.2,manual,3,5,5,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
kia sportage,8490,50000,2014,1,petrol,suv,1.6,manual,5,5,5,full
audi a3,6295,82147,2009,3,petrol,hatchback,1.8,automatic,3,5,4,unknown
toyota yaris,4690,30000,2008,1,petrol,hatchback,1.8,manual,5,5,4,unknown
volkswagen golf,2495,113400,2007,4,petrol,hatchback,1.6,manual,5,5,4,full
nissan murano,4950,118000,2010,3,petrol,suv,3.5,automatic,5,5,4,full
audi a3,2249,125000,2005,3,diesel,hatchback,2.0,manual,5,5,4,unknown
bmw 5 series,7900,113000,2014,3,diesel,saloon,2.0,automatic,4,5,6,full
vauxhall astra,1975,100570,2005,2,petrol,hatchback,1.6,manual,5,5,4,unknown
vauxhall insignia,2950,79000,2011,4,petrol,hatchback,1.8,manual,5,5,5,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
toyota rav4,3495,87738,2006,3,petrol,suv,2.0,manual,5,5,4,unknown
volkswagen golf,3889,74100,2010,3,petrol,hatchback,1.4,manual,5,5,5,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
ford fiesta,1480,70000,2004,3,petrol,hatchback,1.4,manual,5,5,4,unknown
peugeot 208,3995,90000,2012,4,petrol,hatchback,1.2,manual,5,5,5,unknown
mini hatch,7499,55750,2014,2,petrol,hatchback,1.2,manual,3,4,6,unknown
suzuki swift,2999,103310,2012,3,petrol,hatchback,1.2,manual,3,4,5,full
bmw x5,13999,115000,2013,4,diesel,suv,3.0,automatic,5,5,6,full
honda civic,5000,93000,2014,2,diesel,hatchback,1.6,manual,5,5,5,full
fiat 500,2395,89701,2009,5,petrol,hatchback,1.2,manual,3,4,5,full
ford focus,798,140599,2008,3,petrol,hatchback,1.6,manual,5,5,4,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
ford fiesta,3395,92132,2010,5,petrol,hatchback,1.6,manual,3,5,4,unknown
honda civic,10000,41579,2016,3,petrol,hatchback,1.4,manual,5,5,6,unknown
hyundai i30,3000,89321,2012,4,diesel,hatchback,1.6,manual,5,5,5,unknown
audi a3,1350,126085,2003,6,petrol,hatchback,1.6,automatic,5,5,4,unknown
audi a3,4950,88000,2010,3,diesel,hatchback,1.6,automatic,5,5,5,unknown
vauxhall astra,3990,91000,2014,2,petrol,hatchback,1.4,manual,5,5,5,unknown
peugeot 406,3000,67000,1998,5,petrol,coupe,3.0,automatic,2,4,2,unknown
vauxhall astra,3495,107504,2014,3,petrol,hatchback,1.6,manual,5,5,5,unknown
kia sportage,4950,104000,2010,1,petrol,suv,1.6,manual,5,5,5,full
volkswagen polo,4490,49411,2007,4,petrol,hatchback,1.4,automatic,5,5,4,unknown
peugeot 207,1299,87000,2008,5,diesel,hatchback,1.6,manual,5,5,4,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
renault megane,3995,72000,2013,3,petrol,hatchback,1.6,manual,5,5,5,unknown
bmw x1,7995,51000,2014,1,diesel,suv,2.0,automatic,5,5,5,full
honda civic,2300,49376,2006,2,petrol,hatchback,1.8,manual,5,5,4,unknown
mercedes-benz c class,12000,86000,2016,4,diesel,saloon,1.6,automatic,4,5,6,unknown
bmw x5,3950,125000,2005,3,petrol,suv,4.4,automatic,5,5,3,unknown
volkswagen golf,1949,96000,2001,3,petrol,hatchback,1.6,automatic,5,5,4,unknown
bmw 3 series,7200,71026,2012,3,diesel,convertible,2.0,automatic,2,4,5,full
skoda octavia,3495,152544,2014,3,petrol,hatchback,1.2,manual,5,5,5,unknown
vauxhall corsa,3675,65000,2013,3,petrol,hatchback,1.2,manual,5,5,5,unknown
mg mg3,8198,27649,2019,3,petrol,hatchback,1.5,manual,5,5,6,unknown
volkswagen polo,2495,149000,2010,1,diesel,hatchback,1.2,manual,5,5,5,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
honda civic,9198,78691,2018,3,diesel,hatchback,1.6,manual,5,5,6,unknown
ford focus,5345,67000,2012,3,diesel,hatchback,1.6,manual,5,5,5,unknown
renault clio,2695,79732,2010,3,petrol,hatchback,1.2,manual,3,5,4,full
jeep renegade,4500,113200,2015,2,diesel,suv,1.6,manual,5,5,5,unknown
fiat 500,4650,67300,2014,3,petrol,hatchback,1.2,manual,3,4,6,unknown
nissan qashqai+2,4495,113000,2010,2,petrol,suv,1.6,manual,5,7,5,full
mini hatch,3449,55000,2013,3,diesel,hatchback,1.6,manual,3,4,5,unknown
renault megane,4000,51100,2014,2,diesel,coupe,1.5,manual,3,5,5,full
ford focus,4950,100000,2012,4,petrol,estate,1.6,automatic,5,5,5,full
fiat 500,6490,14700,2008,2,petrol,hatchback,1.2,automatic,3,4,6,unknown
peugeot 207,1299,87000,2008,5,diesel,hatchback,1.6,manual,5,5,4,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
mazda mazda2,6995,54100,2016,2,petrol,hatchback,1.5,manual,5,5,6,unknown
ford ka,2795,83655,2012,2,petrol,hatchback,1.2,manual,3,4,5,unknown
peugeot 308,3550,74000,2013,3,diesel,hatchback,1.6,manual,5,5,5,unknown
vauxhall astra,3500,78000,2015,2,petrol,hatchback,1.6,manual,5,5,6,unknown
vauxhall astra,5700,79910,2016,2,petrol,hatchback,1.4,manual,5,5,5,full
vauxhall corsa,2950,82471,2011,4,petrol,hatchback,1.2,manual,5,5,5,unknown
toyota auris,3295,111695,2011,3,petrol,hatchback,1.3,manual,5,5,4,unknown
hyundai i20,4999,56700,2013,3,petrol,hatchback,1.2,manual,5,5,5,unknown
renault scenic,2500,80000,2010,3,diesel,mpv,1.5,manual,5,5,4,unknown
bmw 3 series,6500,64000,2007,8,petrol,convertible,3.0,automatic,2,4,4,unknown
peugeot 207,999,111400,2007,2,diesel,hatchback,1.6,manual,5,5,4,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
mazda mazda3,2350,77000,2008,4,petrol,hatchback,1.6,manual,5,5,4,full
ford fiesta,4195,111535,2014,1,petrol,hatchback,1.0,manual,5,5,5,full
bmw 3 series,7200,71026,2012,3,diesel,convertible,2.0,automatic,2,4,5,full
land rover range rover evoque,8995,87000,2012,3,diesel,suv,2.2,manual,5,5,5,unknown
fiat 500l,3800,64000,2013,2,petrol,mpv,1.4,manual,5,5,6,unknown
chrysler grand voyager,2950,106000,2006,4,petrol,mpv,3.3,automatic,5,7,3,full
mercedes-benz clk,2500,108000,2009,2,petrol,convertible,3.5,automatic,2,4,4,unknown
peugeot 208,4889,52000,2015,3,petrol,hatchback,1.2,manual,5,5,6,unknown
renault clio,8495,51878,2018,1,petrol,hatchback,0.9,manual,5,5,6,unknown
bmw 4 series,12000,55000,2016,3,petrol,coupe,2.0,automatic,2,3,6,full
vauxhall insignia,2950,79000,2011,4,petrol,hatchback,1.8,manual,5,5,5,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
volkswagen golf plus,1789,100000,2007,3,diesel,hatchback,1.9,manual,5,5,4,unknown
mini hatch,7995,89000,2015,3,petrol,hatchback,2.0,automatic,3,4,6,unknown
nissan juke,7999,37000,2016,3,petrol,suv,1.2,manual,5,5,6,unknown
land rover range rover sport,3950,135000,2005,4,petrol,suv,4.4,automatic,5,5,3,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
honda civic,2490,83000,2006,4,petrol,hatchback,1.8,manual,5,5,4,unknown
nissan x-trail,5995,108000,2015,1,diesel,suv,1.6,manual,5,5,5,unknown
ford focus,2399,65700,2007,2,petrol,estate,1.6,manual,5,5,4,unknown
honda accord,5000,118000,2009,3,petrol,saloon,2.4,automatic,4,5,5,unknown
peugeot 207,1299,87000,2008,5,diesel,hatchback,1.6,manual,5,5,4,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
bmw 1 series,4995,132164,2009,3,petrol,convertible,3.0,automatic,2,4,4,unknown
peugeot 107,2300,77230,2008,3,petrol,hatchback,1.0,manual,5,4,4,full
vauxhall astra,1900,126000,2010,2,diesel,hatchback,1.7,manual,5,5,5,unknown
renault captur,6899,70000,2016,2,petrol,suv,0.9,manual,5,5,6,unknown
dacia sandero,3799,56200,2014,3,petrol,hatchback,1.2,manual,5,5,5,unknown
vauxhall corsa,12000,18992,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
volkswagen golf,2995,99000,2005,5,petrol,hatchback,1.6,automatic,5,5,4,unknown
citroen c4 cactus,5995,86260,2014,3,petrol,hatchback,1.2,manual,5,5,6,unknown
ford focus,1799,126000,2009,3,petrol,hatchback,1.6,manual,5,5,4,unknown
peugeot 207,1299,87000,2008,5,diesel,hatchback,1.6,manual,5,5,4,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
ford galaxy,6495,68000,2011,2,diesel,mpv,2.0,automatic,5,7,5,unknown
mercedes-benz e class,3889,140000,2011,3,diesel,saloon,2.1,automatic,4,5,5,unknown
toyota yaris,2995,69400,2006,3,petrol,hatchback,1.0,manual,5,5,4,unknown
ford focus,7299,70000,2015,2,petrol,hatchback,1.0,manual,5,5,6,unknown
nissan micra,3975,65000,2013,2,petrol,hatchback,1.2,manual,5,5,5,unknown
toyota aygo,3295,53000,2010,3,petrol,hatchback,1.0,manual,5,4,5,unknown
ford fiesta,7999,43000,2018,3,petrol,hatchback,1.1,manual,5,5,6,unknown
bmw 3 series,2490,81645,2007,8,petrol,saloon,2.0,automatic,4,5,4,unknown
mercedes-benz c class,4799,67000,2008,3,diesel,saloon,2.1,automatic,4,5,4,full
renault megane,6990,43200,2015,2,petrol,convertible,1.2,manual,2,4,5,unknown
vauxhall corsa,1950,93000,2012,4,petrol,hatchback,1.2,manual,3,5,5,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
toyota aygo,2275,85000,2009,2,petrol,hatchback,1.0,manual,5,4,4,unknown
mazda mazda2,1695,57505,2005,3,petrol,hatchback,1.4,manual,5,5,4,unknown
ford fiesta,5995,69856,2015,2,petrol,hatchback,1.0,manual,3,5,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
ford c-max,2995,90000,2009,7,petrol,mpv,2.0,automatic,5,5,4,unknown
audi a3,6345,86000,2013,3,petrol,hatchback,1.4,manual,3,5,5,unknown
mini hatch,8450,101000,2015,3,petrol,hatchback,2.0,manual,3,4,6,unknown
mercedes-benz c class,2500,85000,2004,3,petrol,saloon,1.8,manual,4,5,3,unknown
honda jazz,2100,65316,2008,7,petrol,hatchback,1.4,manual,5,5,4,unknown
vauxhall corsa,1950,93000,2012,4,petrol,hatchback,1.2,manual,3,5,5,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
audi a5,3500,110350,2009,4,diesel,coupe,2.0,manual,2,4,5,unknown
alfa romeo mito,1995,81497,2009,3,petrol,hatchback,1.4,manual,3,4,5,unknown
honda accord,4580,99000,2012,2,diesel,estate,2.2,automatic,5,5,5,unknown
hyundai accent,2475,70000,2007,5,petrol,hatchback,1.4,automatic,3,5,4,unknown
toyota aygo,2495,74765,2009,3,petrol,hatchback,1.0,manual,5,4,4,unknown
nissan micra,3095,37000,2003,3,petrol,hatchback,1.2,automatic,5,5,4,unknown
volvo s60,2000,108000,2003,3,petrol,saloon,2.0,automatic,4,5,3,unknown
vauxhall mokka,6999,69000,2015,2,petrol,suv,1.6,manual,5,5,5,unknown
kia soul,1995,121261,2010,2,diesel,suv,1.6,manual,5,5,4,full
bmw x5,3889,65000,2004,3,petrol,suv,3.0,automatic,5,5,3,unknown
seat ibiza,2799,99061,2011,3,petrol,hatchback,1.2,manual,3,5,5,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
vauxhall corsa,2995,47988,2009,3,petrol,hatchback,1.2,manual,3,5,4,unknown
mercedes-benz c class,2299,156000,2008,3,diesel,saloon,2.1,manual,4,5,4,unknown
vauxhall astra,495,97000,2011,7,diesel,hatchback,1.7,manual,5,5,5,unknown
subaru impreza,2395,130100,2001,5,petrol,saloon,2.0,manual,4,5,2,unknown
ford focus,1595,81000,2008,7,petrol,hatchback,1.8,manual,5,5,4,unknown
volkswagen polo,895,117850,2008,4,petrol,hatchback,1.2,manual,3,5,4,unknown
volkswagen bora,1000,112153,2002,3,petrol,saloon,2.0,manual,4,5,2,unknown
mini hatch,1295,107000,2008,5,petrol,hatchback,1.4,manual,3,4,4,unknown
peugeot 407,995,144100,2007,4,diesel,saloon,2.0,manual,4,5,4,unknown
toyota yaris,750,161000,1999,8,petrol,hatchback,1.3,manual,3,5,3,unknown
renault clio,1990,120863,2012,3,petrol,hatchback,1.1,manual,3,5,5,unknown
vauxhall corsa,2995,47988,2009,3,petrol,hatchback,1.2,manual,3,5,4,unknown
toyota yaris,2995,81224,2006,3,petrol,hatchback,1.0,manual,3,5,4,unknown
renault clio,2895,70100,2012,2,diesel,hatchback,1.5,manual,3,5,5,unknown
nissan qashqai,1495,149000,2009,3,petrol,hatchback,1.6,manual,5,5,4,unknown
suzuki swift,1195,75677,2008,3,petrol,hatchback,1.3,manual,5,5,4,unknown
honda civic,1000,101000,2007,3,petrol,hatchback,1.8,manual,5,5,4,unknown
nissan primera,1599,57145,1997,3,petrol,hatchback,1.6,manual,5,5,2,unknown
citroen c3,1450,135000,2010,4,diesel,hatchback,1.4,manual,5,5,4,unknown
vauxhall insignia,1695,123000,2012,4,diesel,hatchback,2.0,manual,5,5,5,unknown
ford s-max,750,120000,2007,5,diesel,mpv,2.0,manual,5,7,4,unknown
vauxhall corsa,4489,61000,2014,3,petrol,hatchback,1.4,manual,3,5,5,unknown
volvo v70,795,274100,2004,6,petrol,estate,2.4,automatic,5,5,3,unknown
ford fiesta,2490,42800,2007,3,petrol,hatchback,1.2,manual,3,5,4,unknown
toyota yaris,2995,81224,2006,3,petrol,hatchback,1.0,manual,3,5,4,unknown
ford focus,10970,91000,2019,1,petrol,hatchback,1.5,manual,5,5,6,full
suzuki alto,1595,91000,2010,3,petrol,hatchback,1.0,manual,5,4,5,unknown
vauxhall vectra,3295,93000,2007,3,petrol,hatchback,2.8,manual,5,5,4,unknown
bmw 1 series,1995,143222,2011,3,diesel,hatchback,2.0,manual,5,5,5,full
renault clio,1990,120863,2012,3,petrol,hatchback,1.1,manual,3,5,5,unknown
ford mondeo,3500,102000,2014,7,diesel,hatchback,1.6,manual,5,5,5,unknown
mercedes-benz c class,1450,113000,2006,3,petrol,coupe,1.8,automatic,2,4,4,full
honda civic,2250,82000,2006,6,petrol,hatchback,1.4,manual,5,5,4,unknown
subaru impreza,2395,130100,2001,5,petrol,saloon,2.0,manual,4,5,2,unknown
vauxhall corsa,2995,79011,2007,3,petrol,hatchback,1.4,manual,3,5,4,unknown
toyota yaris,2995,81224,2006,3,petrol,hatchback,1.0,manual,3,5,4,unknown
peugeot 107,1995,118000,2013,3,petrol,hatchback,1.0,manual,3,4,5,unknown
volkswagen scirocco,3195,101296,2011,4,petrol,hatchback,1.4,manual,3,4,5,unknown
porsche cayenne,1500,138000,2005,7,petrol,suv,3.2,automatic,5,5,4,unknown
mazda mazda2,2495,59000,2009,2,petrol,hatchback,1.5,manual,3,5,4,unknown
ford mondeo,1895,110000,2008,4,diesel,hatchback,1.8,manual,5,5,4,unknown
citroen c4,2295,115000,2012,3,diesel,hatchback,1.6,manual,5,5,5,unknown
fiat punto,1995,114000,2013,7,petrol,hatchback,1.2,manual,3,5,5,unknown
mercedes-benz c class,2999,67473,2010,5,petrol,saloon,1.8,automatic,4,5,5,full
volkswagen golf,2495,144000,2012,2,diesel,hatchback,1.6,manual,5,5,5,unknown
vauxhall astra,2500,136842,2014,1,diesel,estate,1.6,manual,5,5,6,unknown
volvo v70,795,274100,2004,6,petrol,estate,2.4,automatic,5,5,3,unknown
toyota yaris,2995,81224,2006,3,petrol,hatchback,1.0,manual,3,5,4,unknown
ford focus,10970,91000,2019,1,petrol,hatchback,1.5,manual,5,5,6,full
vauxhall astra,1875,122000,2010,5,petrol,hatchback,1.6,manual,5,5,5,unknown
vauxhall corsa,2000,75000,2005,3,petrol,hatchback,1.4,manual,3,5,4,unknown
mini hatch,2600,117000,2008,5,petrol,hatchback,1.6,manual,3,4,5,unknown
citroen ds3,3695,65000,2011,4,diesel,hatchback,1.6,manual,3,5,5,unknown
mazda mazda2,1550,73000,2010,7,petrol,hatchback,1.3,manual,5,5,4,unknown
bmw 3 series,1995,107000,2006,3,petrol,saloon,2.0,manual,4,5,4,unknown
vauxhall vectra,2250,52200,2007,3,petrol,hatchback,1.8,manual,5,5,4,unknown
volvo s40,2995,112000,2008,1,petrol,saloon,2.0,manual,4,5,4,unknown
renault clio,2895,70100,2012,2,diesel,hatchback,1.5,manual,3,5,5,unknown
fiat 500c,3995,87986,2010,3,petrol,convertible,1.2,manual,2,4,5,unknown
toyota yaris,2995,81224,2006,3,petrol,hatchback,1.0,manual,3,5,4,unknown
ford fiesta,2995,105000,2009,5,petrol,hatchback,1.6,manual,5,5,4,unknown
nissan qashqai,2895,114000,2010,4,diesel,suv,1.5,manual,5,5,4,unknown
peugeot 308,1995,76954,2009,3,petrol,hatchback,1.6,manual,5,5,4,unknown
ford focus,1499,113187,2008,2,petrol,hatchback,1.6,manual,5,5,4,unknown
ford fiesta,2490,42800,2007,3,petrol,hatchback,1.2,manual,3,5,4,unknown
renault kangoo,2495,94000,2008,3,petrol,mpv,1.2,manual,5,5,4,full
peugeot 308,3995,92000,2014,4,diesel,hatchback,1.6,manual,5,5,5,unknown
alfa romeo 159,2420,86400,2009,5,diesel,saloon,1.9,manual,4,5,4,unknown
honda civic,4495,62000,2012,4,petrol,hatchback,1.4,manual,5,5,5,unknown
ford focus,1499,113187,2008,2,petrol,hatchback,1.6,manual,5,5,4,unknown
toyota yaris,2995,81224,2006,3,petrol,hatchback,1.0,manual,3,5,4,unknown
ford focus,10970,91000,2019,1,petrol,hatchback,1.5,manual,5,5,6,full
volkswagen golf,1995,163100,2008,1,diesel,hatchback,2.0,manual,5,5,4,unknown
honda civic,1075,142000,2008,3,petrol,hatchback,1.8,manual,5,5,4,unknown
ford focus,2295,115000,2011,4,diesel,hatchback,1.6,manual,5,5,5,unknown
vauxhall corsa,2495,72000,2011,4,petrol,hatchback,1.4,manual,5,5,5,unknown
