title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
volkswagen polo,2495,149000,2010,1,diesel,hatchback,1.2,manual,5,5,5,unknown
honda civic,1389,68000,2002,3,petrol,hatchback,1.4,manual,5,5,3,unknown
ford focus,4490,84000,2013,3,petrol,hatchback,1.0,manual,5,5,5,unknown
honda civic,990,113000,2004,3,petrol,hatchback,1.6,manual,5,5,3,unknown
volvo s40,2849,101000,2009,4,petrol,saloon,1.6,manual,4,5,4,full
seat ibiza,2799,99061,2011,3,petrol,hatchback,1.2,manual,3,5,5,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
ford mondeo,1990,84815,2003,5,petrol,hatchback,3.0,manual,5,5,4,unknown
volkswagen polo,3495,127000,2015,3,petrol,hatchback,1.0,manual,3,5,6,unknown
vauxhall meriva,1600,78521,2011,2,diesel,mpv,1.3,manual,5,5,5,unknown
mercedes-benz b class,2650,85000,2008,3,petrol,mpv,1.5,manual,5,5,4,unknown
mazda mazda3,2990,66000,2009,3,petrol,saloon,1.6,manual,4,5,4,full
bmw 3 series,2495,171090,2010,3,petrol,saloon,2.0,manual,4,5,5,unknown
nissan 350 z,4300,100479,2004,3,petrol,coupe,3.5,manual,2,2,3,full
mini hatch,2499,68000,2008,4,petrol,hatchback,1.6,manual,3,4,4,full
alfa romeo mito,1500,120000,2011,2,petrol,hatchback,1.4,manual,3,4,5,unknown
bmw 3 series,2495,113000,2009,6,petrol,saloon,2.0,manual,4,5,4,unknown
seat ibiza,2799,99061,2011,3,petrol,hatchback,1.2,manual,3,5,5,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
ford focus,2950,105000,2011,3,petrol,hatchback,1.6,manual,5,5,5,unknown
vauxhall astra,3300,71000,2012,4,petrol,hatchback,1.4,manual,5,5,5,unknown
peugeot 207,1490,75000,2007,3,petrol,hatchback,1.4,manual,3,5,4,unknown
volkswagen passat,2495,104000,2006,3,petrol,saloon,3.2,automatic,4,5,4,unknown
bmw 3 series,1995,75350,2005,3,petrol,saloon,1.8,automatic,4,5,3,unknown
honda accord,3490,22641,2006,2,petrol,saloon,2.0,manual,4,5,4,unknown
bmw 3 series,2490,104392,2010,4,petrol,saloon,2.0,manual,4,5,5,unknown
honda civic,2995,104068,2010,3,petrol,hatchback,1.4,manual,5,5,5,unknown
vauxhall insignia,2950,79000,2011,4,petrol,hatchback,1.8,manual,5,5,5,unknown
vauxhall corsa,1950,93000,2012,4,petrol,hatchback,1.2,manual,3,5,5,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
